iter	Passed	Remaining
354	188780	2168047
355	189262	2166952
356	189757	2166003
357	190254	2165077
358	190810	2164822
359	191334	2164201
360	191771	2162606
361	192258	2161581
362	192793	2161091
363	193426	2161697
364	193963	2161236
365	194529	2161089
366	195060	2160544
367	195560	2159673
368	196154	2159829
369	196703	2159482
370	197176	2158307
371	197660	2157260
372	198223	2157080
373	198771	2156723
374	199305	2156221
375	199834	2155656
376	200320	2154643
377	200826	2153836
378	201335	2153069
379	201831	2152156
380	202344	2151442
381	202833	2150460
382	203389	2150195
383	203882	2149261
384	204378	2148367
385	204850	2147216
386	205326	2146113
387	205851	2145525
388	206570	2146949
389	207123	2146651
390	207591	2145468
391	208029	2143981
392	208611	2143970
393	209097	2142986
394	209610	2142270
395	210142	2141752
396	210668	2141173
397	211172	2140378
398	211671	2139524
399	212162	2138601
400	212663	2137775
401	213165	2136961
402	213703	2136509
403	214201	2135651
404	214691	2134718
405	215219	2134169
406	215720	2133352
407	216174	2132074
408	216733	2131830
409	217262	2131295
410	217745	2130299
411	218251	2129539
412	218712	2128345
413	219228	2127681
414	219743	2127015
415	220290	2126649
416	220833	2126248
417	221366	2125754
418	221868	2124956
419	222379	2124253
420	222885	2123499
421	223345	2122306
422	223943	2122434
423	224417	2121379
424	224927	2120669
425	225477	2120338
426	226000	2119743
427	226466	2118630
428	227048	2118590
429	227561	2117910
430	228107	2117537
431	228647	2117108
432	229303	2117745
433	229816	2117066
434	230306	2116174
435	230855	2115819
436	231437	2115776
437	231951	2115101
438	232466	2114435
439	232939	2113397
440	233480	2112976
441	234024	2112572
442	234560	2112101
443	235066	2111361
444	235580	2110695
445	236101	2110093
446	236609	2109370
447	237155	2108986
448	237639	2108061
449	238182	2107653
450	238681	2106849
451	239306	2107168
452	239829	2106585
453	240332	2105820
454	240875	2105410
455	241379	2104658
456	241930	2104321
457	242423	2103469
458	242900	2102495
459	243467	2102289
460	244006	2101839
461	244547	2101411
462	245086	2100969
463	245603	2100337
464	246104	2099559
465	246608	2098820
466	247101	2097982
467	247592	2097126
468	248059	2096077
469	248563	2095339
470	249075	2094668
471	249573	2093875
472	250117	2093474
473	250613	2092672
474	251146	2092178
475	251649	2091436
476	252206	2091147
477	252722	2090510
478	253238	2089875
479	253772	2089390
480	254281	2088702
481	254894	2088869
482	255431	2088407
483	255959	2087871
484	256485	2087315
485	256981	2086522
486	257536	2086204
487	258074	2085752
488	258595	2085158
489	259150	2084841
490	259642	2084015
491	260122	2083092
492	260647	2082540
493	261168	2081950
494	261687	2081341
495	262204	2080722
496	262708	2079997
497	263235	2079453
498	263730	2078659
499	264241	2077994
500	264778	2077535
501	265256	2076610
502	265717	2075557
503	266227	2074885
504	266742	2074253
505	267255	2073609
506	267754	2072849
507	268251	2072083
508	268767	2071466
509	269247	2070563
510	269690	2069387
511	270285	2069372
512	270834	2069006
